Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2015-04-01,0.5061596632003784,0.5078460516233313,0.4974867674264082,0.5061596632003784,330768000
2015-04-02,0.5073642730712891,0.5104961541365838,0.503027853293815,0.5090506617313237,192204000
2015-04-06,0.5220600366592407,0.5237464253215975,0.49989597291688315,0.5051960351590602,515864000
2015-04-07,0.5266373753547668,0.532419287163601,0.5191690175566497,0.5220600021802179,413964000
2015-04-08,0.5304918885231018,0.5324192305466295,0.5220599466648431,0.5271191117797983,366432000
2015-04-09,0.5427786707878113,0.5444650596452646,0.5261556210579409,0.5263965173409164,379432000
2015-04-10,0.5483196973800659,0.5485605936674416,0.5413331881013487,0.543260530715295,258728000
2015-04-13,0.5432602167129517,0.5502466645152149,0.5408510254784438,0.5471147848362912,236724000
2015-04-14,0.5386829972267151,0.5432603699622709,0.5333828784045823,0.5410921317025398,220276000
2015-04-15,0.5451876521110535,0.5492831749576716,0.5374783988478331,0.5401284869661068,243560000
2015-04-16,0.541814923286438,0.5466331926426873,0.5379602963137783,0.54205581952276,155284000
2015-04-17,0.5348283648490906,0.5401284836144529,0.5302509921625639,0.5304918883760771,293636000
2015-04-20,0.5321784615516663,0.5406104054256026,0.5312147615903795,0.537237627876028,231624000
2015-04-21,0.5314555764198303,0.538682979610957,0.5288054883762775,0.538682979610957,230456000
2015-04-22,0.5374783873558044,0.5382011334236716,0.5263963575662354,0.5345874605226311,207420000
2015-04-23,0.5353103280067444,0.5403695521721706,0.5215782630057876,0.5276011297709045,259380000
2015-04-24,0.5307328701019287,0.5353101855922845,0.5247100049391409,0.5350692893660286,240960000
2015-04-27,0.5348283648490906,0.5442240064356572,0.5278418577125439,0.5324192303990706,248456000
2015-04-28,0.5374783873558044,0.5394057293495484,0.5288054919796941,0.533864714454764,234484000
2015-04-29,0.5333829522132874,0.5389239680182708,0.5312147136535187,0.5336238484627157,195156000
2015-04-30,0.5348283648490906,0.5374783955126237,0.5295282460837283,0.5307328420278863,218844000
2015-05-01,0.5480788350105286,0.5497652240031476,0.5367558472284447,0.5391649825662317,256968000
2015-05-04,0.5447056889533997,0.551210402350416,0.5430193009224903,0.5475966726854069,200720000
2015-05-05,0.5307328701019287,0.5435012891062718,0.5283237355244733,0.5427785429892052,292928000
2015-05-06,0.5324192047119141,0.538682965467423,0.5254326979124392,0.5336237431596618,316484000
